id,name,club,age,league,nationality,height_cm,weight_kg,pace,shooting,passing,dribbling,defense,physical,gk_habilities,position
1,Cristiano Ronaldo,Real Madrid CF,32,Spanish Primera División,Portugal,185,80,90,93,82,90,33,80,12,Striker
2,L. Messi,FC Barcelona,30,Spanish Primera División,Argentina,170,72,89,90,86,96,26,61,11,Striker
3,Neymar,Paris Saint-Germain,25,French Ligue 1,Brazil,175,68,92,84,79,95,30,60,12,Striker
4,L. Suárez,FC Barcelona,30,Spanish Primera División,Uruguay,182,86,82,90,79,87,42,81,31,Striker
5,M. Neuer,FC Bayern Munich,31,German Bundesliga,Germany,193,92,91,90,95,89,60,91,91,Goalkeeper
6,R. Lewandowski,FC Bayern Munich,28,German Bundesliga,Poland,185,79,81,88,75,86,38,82,10,Striker
7,De Gea,Manchester United,26,English Premier League,Spain,193,76,90,85,87,90,58,86,88,Goalkeeper
8,E. Hazard,Chelsea,26,English Premier League,Belgium,173,76,90,82,84,92,32,66,9,Midfielder
9,T. Kroos,Real Madrid CF,27,Spanish Primera División,Germany,182,78,56,81,89,81,73,70,10,Midfielder
10,G. Higuaín,Juventus,29,Italian Serie A,Argentina,184,87,79,87,70,83,25,74,8,Striker
11,Sergio Ramos,Real Madrid CF,31,Spanish Primera División,Spain,183,75,76,63,71,71,88,83,9,Defender
12,K. De Bruyne,Manchester City,26,English Premier League,Belgium,181,68,75,84,88,85,45,75,11,Midfielder
13,T. Courtois,Chelsea,25,English Premier League,Belgium,199,94,85,91,69,88,49,86,84,Goalkeeper
14,A. Sánchez,Arsenal,28,English Premier League,Chile,169,62,86,84,80,89,40,78,12,Striker
15,L. Modrić,Real Madrid CF,31,Spanish Primera División,Croatia,174,65,73,75,86,89,72,65,10,Midfielder
16,G. Bale,Real Madrid CF,27,Spanish Primera División,Wales,183,74,94,87,84,85,57,76,10,Striker
17,S. Agüero,Manchester City,29,English Premier League,Argentina,173,70,87,88,75,89,23,72,12,Striker
18,G. Chiellini,Juventus,32,Italian Serie A,Italy,187,85,74,46,56,59,90,85,3,Defender
19,G. Buffon,Juventus,39,Italian Serie A,Italy,191,94,89,88,74,84,46,90,85,Goalkeeper
20,P. Dybala,Juventus,23,Italian Serie A,Argentina,177,73,86,85,81,91,24,67,5,Striker
21,J. Oblak,Atlético Madrid,24,Spanish Primera División,Slovenia,189,82,84,90,77,84,52,87,84,Goalkeeper
22,A. Griezmann,Atlético Madrid,26,Spanish Primera División,France,174,72,86,85,78,87,30,68,13,Striker
